sample_index,GHSOM_cluster,metadata_index
463,20,463
464,15,464
465,22,465
466,5,466
467,13,467
468,13,468
469,15,469
470,10,470
471,10,471
472,9,472
473,20,473
474,8,474
475,9,475
476,13,476
477,14,477
478,15,478
479,9,479
480,13,480
481,17,481
482,4,482
483,10,483
484,17,484
485,9,485
486,12,486
487,8,487
488,10,488
489,10,489
490,26,490
491,9,491
492,9,492
493,9,493
494,10,494
495,9,495
496,9,496
497,13,497
498,10,498
499,22,499
500,17,500
501,10,501
502,10,502
503,9,503
504,5,504
505,20,505
506,9,506
507,9,507
508,10,508
509,9,509
510,14,510
511,9,511
512,19,512
513,15,513
514,10,514
515,15,515
516,8,516
517,14,517
518,8,518
519,10,519
520,13,520
521,14,521
522,10,522
523,6,523
524,8,524
525,12,525
526,6,526
527,10,527
528,7,528
529,5,529
530,6,530
531,20,531
532,7,532
533,19,533
534,10,534
535,22,535
536,6,536
537,5,537
538,9,538
539,7,539
540,28,540
541,7,541
542,6,542
543,14,543
544,20,544
545,10,545
546,19,546
547,22,547
548,14,548
549,9,549
550,7,550
551,20,551
552,15,552
553,9,553
554,14,554
555,28,555
556,20,556
557,14,557
558,17,558
559,25,559
560,8,560
561,15,561
562,8,562
563,14,563
564,7,564
565,10,565
566,6,566
567,8,567
568,9,568
569,10,569
570,9,570
571,13,571
572,5,572
573,10,573
574,25,574
575,4,575
576,21,576
577,21,577
578,9,578
579,20,579
580,9,580
581,15,581
582,10,582
583,8,583
584,8,584
585,9,585
586,9,586
587,8,587
588,17,588
589,13,589
590,25,590
591,10,591
592,10,592
593,8,593
594,9,594
595,8,595
596,17,596
597,3,597
598,7,598
599,8,599
600,14,600
601,20,601
602,14,602
603,9,603
604,8,604
605,9,605
606,10,606
607,14,607
608,17,608
609,10,609
610,15,610
611,6,611
612,20,612
613,10,613
614,15,614
615,14,615
616,13,616
617,13,617
618,22,618
619,10,619
620,20,620
621,13,621
622,10,622
623,9,623
624,9,624
625,13,625
626,6,626
627,10,627
628,14,628
629,15,629
630,7,630
631,28,631
632,9,632
633,21,633
634,10,634
635,15,635
636,10,636
637,13,637
638,14,638
639,9,639
640,7,640
641,25,641
642,14,642
643,8,643
644,15,644
645,6,645
646,22,646
647,9,647
648,8,648
649,9,649
650,9,650
651,20,651
652,9,652
653,8,653
654,22,654
655,13,655
656,5,656
657,17,657
658,10,658
659,14,659
660,14,660
661,9,661
662,28,662
663,14,663
664,17,664
665,7,665
666,10,666
667,20,667
668,9,668
669,10,669
670,13,670
671,13,671
672,6,672
673,14,673
674,10,674
675,14,675
676,21,676
677,7,677
678,14,678
679,7,679
680,9,680
681,5,681
682,9,682
683,9,683
684,14,684
685,8,685
686,12,686
687,8,687
688,17,688
689,9,689
690,9,690
691,9,691
692,13,692
693,17,693
694,20,694
695,20,695
696,8,696
697,9,697
698,15,698
699,6,699
700,14,700
701,14,701
702,26,702
703,14,703
704,17,704
705,20,705
706,19,706
707,22,707
708,5,708
709,17,709
710,7,710
711,8,711
712,28,712
713,7,713
714,13,714
715,13,715
716,15,716
717,7,717
718,17,718
719,7,719
720,21,720
721,22,721
722,4,722
723,9,723
724,10,724
725,13,725
726,9,726
727,9,727
728,9,728
729,9,729
730,14,730
731,14,731
732,28,732
733,9,733
734,22,734
735,19,735
736,13,736
737,9,737
738,5,738
739,12,739
740,6,740
741,14,741
742,15,742
743,14,743
744,9,744
745,9,745
746,9,746
747,9,747
748,8,748
749,20,749
750,9,750
751,14,751
752,17,752
753,7,753
754,14,754
755,14,755
756,9,756
757,15,757
758,9,758
759,20,759
760,9,760
761,14,761
762,17,762
763,8,763
764,12,764
765,14,765
766,14,766
767,4,767
768,5,768
769,19,769
770,13,770
771,19,771
772,22,772
773,10,773
774,6,774
775,9,775
776,12,776
777,22,777
778,14,778
779,17,779
780,9,780
781,22,781
782,10,782
783,6,783
784,6,784
785,8,785
786,28,786
787,27,787
788,12,788
789,9,789
790,20,790
791,10,791
792,7,792
793,17,793
794,5,794
795,8,795
796,9,796
797,6,797
798,24,798
799,25,799
800,7,800
801,22,801
802,6,802
803,13,803
804,9,804
805,9,805
806,7,806
807,22,807
808,13,808
809,17,809
810,5,810
811,15,811
812,10,812
813,15,813
814,8,814
815,6,815
816,7,816
817,22,817
818,12,818
819,19,819
820,7,820
821,7,821
822,21,822
823,20,823
824,13,824
825,20,825
826,22,826
827,17,827
828,10,828
829,22,829
830,13,830
831,24,831
832,9,832
833,15,833
834,10,834
835,13,835
836,17,836
837,19,837
838,9,838
839,12,839
840,9,840
841,10,841
842,22,842
843,21,843
844,6,844
845,5,845
846,25,846
847,14,847
848,8,848
849,9,849
850,9,850
851,9,851
852,9,852
853,14,853
854,20,854
855,9,855
856,8,856
857,8,857
858,13,858
859,7,859
860,20,860
861,6,861
862,7,862
863,14,863
864,12,864
865,17,865
866,6,866
867,17,867
868,6,868
869,14,869
870,9,870
871,8,871
872,13,872
873,13,873
874,12,874
875,8,875
876,9,876
877,20,877
878,6,878
879,14,879
880,20,880
881,22,881
882,7,882
883,9,883
884,21,884
885,22,885
886,20,886
887,8,887
888,12,888
889,8,889
890,6,890
891,14,891
892,8,892
893,19,893
894,14,894
895,6,895
896,17,896
897,7,897
898,9,898
899,6,899
900,9,900
901,17,901
902,6,902
903,7,903
904,6,904
905,14,905
906,10,906
907,12,907
908,12,908
909,13,909
910,9,910
911,8,911
912,28,912
913,9,913
914,9,914
915,20,915
916,14,916
917,17,917
918,20,918
919,7,919
920,6,920
921,17,921
922,9,922
923,9,923
924,13,924
925,6,925
926,15,926
927,17,927
928,7,928
929,14,929
930,28,930
931,20,931
932,9,932
933,8,933
934,15,934
935,9,935
936,9,936
937,17,937
938,28,938
939,15,939
940,14,940
941,15,941
942,9,942
943,8,943
944,9,944
945,10,945
946,10,946
947,27,947
948,9,948
949,12,949
950,7,950
951,7,951
952,6,952
953,17,953
954,14,954
955,14,955
956,8,956
957,9,957
958,17,958
959,9,959
960,17,960
961,21,961
962,9,962
963,22,963
964,8,964
965,15,965
966,10,966
967,15,967
968,9,968
969,17,969
970,14,970
971,14,971
972,10,972
973,8,973
974,10,974
975,10,975
976,13,976
977,6,977
978,9,978
979,9,979
980,14,980
981,9,981
982,15,982
983,6,983
984,5,984
985,9,985
986,21,986
987,6,987
988,9,988
989,9,989
990,21,990
991,9,991
992,17,992
993,10,993
994,19,994
995,9,995
996,10,996
997,8,997
998,13,998
999,20,999
1000,9,1000
1001,10,1001
1002,10,1002
1003,13,1003
1004,20,1004
1005,6,1005
1006,12,1006
1007,8,1007
1008,10,1008
1009,9,1009
1010,15,1010
1011,10,1011
1012,14,1012
1013,6,1013
1014,9,1014
1015,13,1015
1016,13,1016
1017,20,1017
1018,8,1018
1019,9,1019
1020,13,1020
1021,8,1021
1022,6,1022
1023,15,1023
1024,20,1024
1025,21,1025
1026,6,1026
1027,5,1027
1028,9,1028
1029,22,1029
1030,6,1030
1031,9,1031
1032,6,1032
1033,8,1033
1034,9,1034
1035,14,1035
1036,14,1036
1037,14,1037
1038,28,1038
1039,8,1039
1040,4,1040
1041,10,1041
1042,9,1042
1043,12,1043
1044,13,1044
1045,4,1045
1046,20,1046
1047,20,1047
1048,9,1048
1049,10,1049
1050,9,1050
1051,9,1051
1052,20,1052
1053,7,1053
1054,7,1054
1055,17,1055
1056,14,1056
1057,10,1057
1058,17,1058
1059,12,1059
1060,20,1060
1061,13,1061
1062,8,1062
1063,9,1063
1064,24,1064
1065,9,1065
1066,9,1066
1067,9,1067
1068,20,1068
1069,7,1069
1070,9,1070
1071,13,1071
1072,10,1072
1073,10,1073
1074,5,1074
1075,13,1075
1076,15,1076
1077,6,1077
1078,20,1078
1079,9,1079
1080,14,1080
1081,7,1081
1082,9,1082
1083,6,1083
1084,20,1084
1085,6,1085
1086,9,1086
1087,8,1087
1088,14,1088
1089,14,1089
1090,10,1090
1091,25,1091
1092,9,1092
1093,9,1093
1094,6,1094
1095,17,1095
1096,13,1096
1097,9,1097
1098,12,1098
1099,10,1099
1100,28,1100
1101,8,1101
1102,22,1102
1103,13,1103
1104,5,1104
1105,9,1105
1106,8,1106
1107,10,1107
1108,5,1108
1109,9,1109
1110,13,1110
1111,17,1111
1112,13,1112
1113,15,1113
1114,10,1114
1115,10,1115
1116,6,1116
1117,14,1117
1118,13,1118
1119,15,1119
1120,6,1120
1121,9,1121
1122,8,1122
1123,25,1123
1124,6,1124
1125,19,1125
1126,9,1126
1127,9,1127
1128,6,1128
1129,17,1129
1130,9,1130
1131,9,1131
1132,6,1132
1133,10,1133
1134,9,1134
1135,6,1135
1136,10,1136
1137,9,1137
1138,6,1138
1139,15,1139
1140,10,1140
1141,14,1141
1142,12,1142
1143,12,1143
1144,8,1144
1145,13,1145
1146,24,1146
1147,24,1147
1148,8,1148
1149,9,1149
1150,8,1150
1151,10,1151
1152,12,1152
1153,9,1153
1154,10,1154
1155,9,1155
1156,20,1156
1157,17,1157
1158,6,1158
1159,14,1159
1160,17,1160
1161,7,1161
1162,9,1162
1163,9,1163
1164,19,1164
1165,9,1165
1166,9,1166
1167,10,1167
1168,14,1168
1169,13,1169
1170,10,1170
1171,9,1171
1172,10,1172
1173,10,1173
1174,26,1174
1175,6,1175
1176,8,1176
1177,9,1177
1178,9,1178
1179,22,1179
1180,9,1180
1181,10,1181
1182,10,1182
1183,8,1183
1184,9,1184
1185,6,1185
1186,8,1186
1187,8,1187
1188,28,1188
1189,22,1189
1190,13,1190
1191,9,1191
1192,10,1192
1193,17,1193
1194,9,1194
1195,10,1195
1196,26,1196
1197,9,1197
1198,28,1198
1199,17,1199
1200,9,1200
1201,4,1201
1202,13,1202
1203,7,1203
1204,8,1204
1205,9,1205
1206,9,1206
1207,9,1207
1208,9,1208
1209,9,1209
1210,9,1210
1211,22,1211
1212,10,1212
1213,10,1213
1214,6,1214
1215,10,1215
1216,5,1216
1217,3,1217
1218,13,1218
1219,4,1219
1220,20,1220
1221,9,1221
1222,8,1222
1223,7,1223
1224,10,1224
1225,25,1225
1226,14,1226
1227,14,1227
1228,10,1228
1229,15,1229
1230,20,1230
1231,9,1231
1232,20,1232
1233,7,1233
1234,9,1234
1235,8,1235
1236,25,1236
1237,20,1237
1238,10,1238
1239,9,1239
1240,14,1240
1241,9,1241
1242,17,1242
1243,20,1243
1244,13,1244
1245,3,1245
1246,9,1246
1247,14,1247
1248,7,1248
1249,13,1249
1250,7,1250
1251,14,1251
1252,10,1252
1253,13,1253
1254,14,1254
1255,13,1255
1256,10,1256
1257,14,1257
1258,22,1258
1259,17,1259
1260,4,1260
1261,10,1261
1262,9,1262
1263,8,1263
1264,20,1264
1265,8,1265
1266,14,1266
1267,19,1267
1268,8,1268
1269,21,1269
1270,8,1270
1271,7,1271
1272,6,1272
1273,9,1273
1274,9,1274
1275,8,1275
1276,7,1276
1277,17,1277
1278,14,1278
1279,8,1279
1280,10,1280
1281,9,1281
1282,15,1282
1283,8,1283
1284,9,1284
1285,22,1285
1286,26,1286
1287,6,1287
1288,12,1288
1289,10,1289
1290,9,1290
1291,9,1291
1292,17,1292
1293,9,1293
1294,5,1294
1295,9,1295
1296,10,1296
1297,25,1297
1298,20,1298
1299,13,1299
1300,22,1300
1301,13,1301
1302,8,1302
1303,17,1303
1304,22,1304
1305,13,1305
1306,25,1306
1307,17,1307
1308,9,1308
1309,27,1309
1310,9,1310
1311,26,1311
1312,4,1312
1313,13,1313
1314,26,1314
1315,7,1315
1316,9,1316
1317,10,1317
1318,10,1318
1319,9,1319
1320,9,1320
1321,10,1321
1322,9,1322
1323,21,1323
1324,13,1324
1325,20,1325
1326,9,1326
1327,4,1327
1328,12,1328
1329,15,1329
1330,21,1330
1331,9,1331
1332,20,1332
1333,6,1333
1334,21,1334
1335,10,1335
1336,25,1336
1337,10,1337
1338,9,1338
1339,9,1339
1340,9,1340
1341,9,1341
1342,8,1342
1343,9,1343
1344,8,1344
1345,8,1345
1346,22,1346
1347,12,1347
1348,14,1348
1349,5,1349
1350,12,1350
1351,7,1351
1352,7,1352
1353,15,1353
1354,17,1354
1355,12,1355
1356,14,1356
1357,12,1357
1358,24,1358
1359,15,1359
1360,9,1360
1361,9,1361
1362,9,1362
1363,15,1363
1364,9,1364
1365,17,1365
1366,8,1366
1367,27,1367
1368,10,1368
1369,4,1369
1370,13,1370
1371,8,1371
1372,9,1372
1373,10,1373
1374,8,1374
1375,8,1375
1376,17,1376
1377,20,1377
1378,20,1378
1379,9,1379
1380,13,1380
1381,24,1381
1382,14,1382
1383,7,1383
1384,20,1384
1385,13,1385
1386,6,1386
1387,19,1387
1388,6,1388
1389,25,1389
1390,8,1390
1391,9,1391
1392,22,1392
1393,13,1393
1394,26,1394
1395,8,1395
1396,9,1396
1397,19,1397
1398,6,1398
1399,13,1399
1400,10,1400
1401,9,1401
1402,4,1402
1403,9,1403
1404,8,1404
1405,12,1405
1406,9,1406
1407,4,1407
1408,17,1408
1409,14,1409
1410,9,1410
1411,12,1411
1412,3,1412
1413,25,1413
1414,13,1414
1415,9,1415
1416,4,1416
1417,7,1417
1418,8,1418
1419,10,1419
1420,8,1420
1421,13,1421
