Model,CV_R2_Mean,CV_R2_Std,CV_RMSE_Mean,CV_RMSE_Std,CV_MAE_Mean,CV_MAE_Std,Train_R2,Train_RMSE,Train_MAE
GradientBoosting,0.9960580161266644,0.0016694024535611662,0.056020443962972954,0.0309990339578824,0.02847864142835228,0.004681172291321982,0.9999583869117201,0.005985743708132584,0.004221362730939227
RandomForest,0.9947911955335865,0.002030877869410705,0.06474733202714679,0.03171466881158298,0.033383142733410406,0.004960923272111511,0.9988512702313058,0.03144937953446327,0.015060813070649624
LinearRegression,0.9762932856848348,0.025860612395672847,0.13343348782253997,0.12818768488884597,0.0772730550308199,0.005087762145307217,0.9904036829341254,0.09089823243093159,0.06842183198691798
