consensus_rank,feature,consensus_score,rfe_score,shap_score,vif_score,corr_score,mi_score,rfe_rank,shap_rank
1,pm_note_count,76.9046727805572,100.0,100.0,0.0,28.063220545026823,81.96701452109046,1.0,1.0
2,muspy_polyphony,63.863845375721894,95.65217391304348,34.07471972242223,85.51412072443834,37.17118910746361,38.30391167793572,2.0,5.0
3,muspy_n_pitches_used,63.688442483363794,100.0,35.89771648414241,46.040310998818,52.70988941142198,78.94412245898111,1.0,3.0
4,pm_length_seconds,62.99792252257241,86.95652173913044,7.334788409800943,100.0,100.0,99.9192794089285,4.0,18.0
5,pm_average_polyphony,58.94963186886307,47.82608695652174,40.42375938219621,98.4561670047529,100.0,65.87521199197711,13.0,2.0
6,pm_interval_range_min,56.9058668379329,91.30434782608695,6.602822489517157,100.0,49.512323117256415,53.742498314916446,3.0,19.0
7,pm_average_velocity,55.894931103910196,60.869565217391305,18.78540741655953,100.0,100.0,60.31381364054807,10.0,8.0
8,muspy_n_pitch_classes_used,55.65676234113161,100.0,34.41427805158944,12.601337188436247,34.44720878604981,65.53687132409776,1.0,4.0
9,pm_tempo_bpm,49.193278125308126,56.52173913043478,1.0310447230901076,100.0,100.0,80.99607553148844,11.0,29.0
10,muspy_pitch_class_entropy,48.773052806451965,100.0,17.159228751589737,0.0,34.44720878604981,86.45203729581152,1.0,9.0
11,pm_note_density,48.536610435956206,82.6086956521739,13.933267120315696,47.55699194080748,28.063220545026823,96.1410523992209,5.0,14.0
12,pm_groove,48.309341908084065,39.130434782608695,16.86114307281704,100.0,100.0,74.2457931737012,15.0,10.0
13,muspy_groove_consistency,47.739372687216985,52.17391304347826,1.1466385445857359,100.0,100.0,81.54359262789173,12.0,27.0
14,pm_interval_range_max,43.35035842421844,43.47826086956522,4.922959171680466,100.0,89.05669567943505,50.08523683677889,14.0,21.0
15,muspy_scale_consistency,38.98418233533365,34.78260869565217,2.8864796591447823,100.0,100.0,16.000028223094347,16.0,24.0
16,pm_max_polyphony,37.74223806318072,30.434782608695652,3.18244340435322,100.0,100.0,19.524179172272433,17.0,23.0
17,pm_bar_count,36.78655326339178,17.391304347826086,8.120063976937146,100.0,100.0,57.151486994493084,20.0,17.0
18,pm_energy,36.613250095196754,73.91304347826087,0.0,28.265416689041828,31.73668787311642,66.60407174275068,7.0,
19,muspy_pitch_range,34.04044027675733,100.0,4.723534610340095,-100.0,87.18055025212698,73.38296275851192,1.0,22.0
20,pm_average_pitch_hz,33.30004151826461,78.26086956521739,0.9531443879793646,0.0,20.91717958672842,69.66837351945799,6.0,30.0
21,pm_pitch_range_min_freq,28.193707204560667,26.08695652173913,1.0608897207286776,82.83862406041663,33.48660873573341,58.35013074122196,18.0,28.0
22,pm_pitch_range_max_note,19.903608973303836,65.21739130434783,4.958745093095401,-100.0,74.32933973184116,58.180545220291776,9.0,20.0
23,theory_centricity,17.164054709765782,0.0,16.481815753049343,16.708829661736644,57.510835381688466,62.76022417538344,,11.0
24,muspy_empty_measure_rate,17.15686607265065,69.56521739130434,16.049392389618728,-100.0,2.220446049250313e-14,43.83505298655149,8.0,12.0
25,pm_pitch_range_max_freq,15.620911830853732,21.73913043478261,8.710007928968007,0.0,20.91717958672842,57.439908897363466,19.0,16.0
26,muspy_pitch_entropy,3.699449210786046,0.0,24.081315056125277,-100.0,52.70988941142198,100.00000000000001,,6.0
27,theory_limited_macroharmony,-1.7244771546137603,0.0,2.2739369635744455,-100.0,100.0,49.59289816270366,,25.0
28,muspy_empty_beat_rate,-2.6239828585833305,13.043478260869565,16.049392389618003,-100.0,2.220446049250313e-14,43.870248274920414,21.0,13.0
29,theory_conjuction_melody_motion,-3.2285678905639252,0.0,23.5079724970934,-100.0,1.6290246551640353,67.61478539873961,,7.0
30,pm_instrument_count,-3.4459945510554952,4.3478260869565215,0.0,-100.0,100.0,0.6453263701944324,23.0,31.0
31,pm_pitch_range_min_note,-5.158812637901192,8.695652173913043,1.508975374415661,-100.0,33.48660873573341,58.41813693220844,22.0,26.0
32,theory_general_tonality,-7.750736458751552,0.0,10.650365917699187,-100.0,1.6290246551640353,67.1746600907466,,15.0
