feature,mean_abs_shap,mean_shap,std_shap,max_abs_shap,rank
pm_note_count,22.063909804835504,-10.13179679071593,26.212519706946452,127.45883739286721,1
pm_average_polyphony,8.9190618098115,3.226643295879143,12.386787877602508,30.60282601051696,2
muspy_n_pitches_used,7.920439787056748,-1.179486791497771,11.35651536997774,44.80729934374491,3
muspy_n_pitch_classes_used,7.593135269287996,-0.6780509340672984,9.371293790500443,22.232232753109567,4
muspy_polyphony,7.518215425805735,-0.7918625209584575,9.450396842461478,18.842569863854454,5
muspy_pitch_entropy,5.313279633801753,0.3174197275542607,6.886232746168683,14.460231599674179,6
theory_conjuction_melody_motion,5.1867778487042235,-0.9297024442295772,8.030667461946855,20.73710097638893,7
pm_average_velocity,4.144795348860574,0.72287079724398,4.838763666355337,9.556478979710034,8
muspy_pitch_class_entropy,3.785996754956161,0.0003761520936862647,4.802955406340821,9.337969968134109,9
pm_groove,3.720227399650621,0.7457889649287435,5.470177350893165,29.86250634374217,10
theory_centricity,3.636532961951976,2.4156726984477492,4.42021189145756,30.929327383301228,11
muspy_empty_measure_rate,3.5411234610696094,-0.5980957642709235,4.240023905089193,13.353539821517856,12
muspy_empty_beat_rate,3.54112346106945,-0.5980957642708962,4.240023905089001,13.353539821517254,13
pm_note_density,3.0742234902932557,-1.370316128449381,4.858338879034881,41.19379512553024,14
theory_general_tonality,2.3498871299660897,0.43701345257311724,3.720946630496154,9.642336630672423,15
pm_pitch_range_max_freq,1.921768293441522,-0.018571136754605862,2.7332113923266053,16.325671423335663,16
pm_bar_count,1.7916035919663509,0.7047502031174853,2.508016035652711,5.84482319473688,17
pm_length_seconds,1.6183410991140084,0.07171273279934991,1.9847790638669287,5.184297491614344,18
pm_interval_range_min,1.4568407986604597,-0.3681444256885453,2.009596806221926,6.25808349881329,19
pm_pitch_range_max_note,1.0940930447922756,-0.06087540791402874,1.3927418731370977,4.425935775343606,20
pm_interval_range_max,1.0861972713684551,-0.23113648635154926,1.3124002619776292,2.581177052347875,21
muspy_pitch_range,1.0421964160256267,-0.15457040130238517,1.4239668241007435,3.83724993306626,22
pm_max_polyphony,0.7021714423264309,0.01324851777974412,0.8985581936952579,4.252774207297818,23
muspy_scale_consistency,0.636870268528628,-0.06099971759525277,0.8225111222622086,2.7050267845397737,24
theory_limited_macroharmony,0.5017194006618808,-0.046420281529724314,0.6206906077642776,1.4807895980369115,25
pm_pitch_range_min_note,0.33293896558825037,0.017205554985658046,0.42977165838187525,1.4340007980110356,26
muspy_groove_consistency,0.2529932942648753,0.047339538686565555,0.3322573340755157,1.7121782950130209,27
pm_pitch_range_min_freq,0.23407375111034678,0.00752675171182722,0.3496496010927632,1.9515157557657978,28
pm_tempo_bpm,0.22748877775011733,0.06576164472294393,0.25091984132271017,0.4579555507341211,29
pm_average_pitch_hz,0.21030091807361842,-0.005100610199761699,0.3010907902619016,1.7149720923248946,30
pm_instrument_count,0.0,0.0,0.0,0.0,31
