step,min_features_to_select,optimal_n_features,max_cv_score
1,5,5,0.997036421801672
1,10,10,0.9966508103640169
1,15,16,0.9964020224937448
2,5,7,0.9967938562703346
2,10,10,0.9966313942544348
2,15,17,0.9961597821361448
5,5,5,0.9967500904007902
5,10,10,0.9967033261715255
5,15,15,0.996312792536259
