feature,consensus_rank,consensus_score,rfe_selected,shap_significant,ci_lower,ci_upper,overall_significant
pm_note_count,1,76.9046727805572,True,True,19.039482770224982,25.643234906974737,True
muspy_polyphony,2,63.863845375721894,False,True,1.5972296506642778,2.3628241198205817,False
muspy_n_pitches_used,3,63.688442483363794,True,True,0.19065852444258435,0.28766421339517084,True
pm_length_seconds,4,62.99792252257241,False,True,0.8613327799153064,1.244906456137936,False
pm_average_polyphony,5,58.94963186886307,False,True,1.3913103103195732,1.843146748907524,False
pm_interval_range_min,6,56.9058668379329,False,True,6.408224931182243,9.648753901475251,False
pm_average_velocity,7,55.894931103910196,False,True,3.643317319079027,4.626016614315895,False
muspy_n_pitch_classes_used,8,55.65676234113161,True,True,0.2813162109984201,0.38578433108231636,True
pm_tempo_bpm,9,49.193278125308126,False,True,0.43460785528899804,0.5724874760596803,False
muspy_pitch_class_entropy,10,48.773052806451965,True,True,1.2199260444715625,1.7154650457408527,True
pm_note_density,11,48.536610435956206,False,False,0.0,0.0,False
pm_groove,12,48.309341908084065,False,True,0.9497113728339796,1.2427453711643863,False
muspy_groove_consistency,13,47.739372687216985,False,True,3.1298350719708288,4.026175711712226,False
pm_interval_range_max,14,43.35035842421844,False,True,6.473276700015621,8.663553416311572,False
muspy_scale_consistency,15,38.98418233533365,False,True,3.2407411096501293,4.348864863991994,False
pm_max_polyphony,16,37.74223806318072,False,True,4.507475499498019,6.074918621828027,False
pm_bar_count,17,36.78655326339178,False,True,0.20462432383045193,0.25102287639862503,False
pm_energy,18,36.613250095196754,False,,,,False
muspy_pitch_range,19,34.04044027675733,True,True,0.5455781070367183,0.7445848869588201,True
pm_average_pitch_hz,20,33.30004151826461,False,True,4.099108272631715,6.316942281745382,False
pm_pitch_range_min_freq,21,28.193707204560667,False,True,3.0810034750940765,4.343935360435429,False
pm_pitch_range_max_note,22,19.903608973303836,False,True,6.519345120484799,8.69946003215767,False
theory_centricity,23,17.164054709765782,False,True,3.0108368122705644,4.53267829389695,False
muspy_empty_measure_rate,24,17.15686607265065,False,True,0.6079597603371404,0.8317125050617055,False
pm_pitch_range_max_freq,25,15.620911830853732,False,True,1.438289002420211,2.165956001801705,False
muspy_pitch_entropy,26,3.699449210786046,False,True,0.9459678468557442,1.289294864025648,False
theory_limited_macroharmony,27,-1.7244771546137603,False,True,3.1113950095874157,4.005171160645008,False
muspy_empty_beat_rate,28,-2.6239828585833305,False,True,7.2638165905327385,10.859956697570045,False
theory_conjuction_melody_motion,29,-3.2285678905639252,False,True,0.1735084064977639,0.25081793257169205,False
pm_instrument_count,30,-3.4459945510554952,False,True,1.8282600077368496,2.9363916648385113,False
pm_pitch_range_min_note,31,-5.158812637901192,False,True,0.21457579831166404,0.29375279050452424,False
theory_general_tonality,32,-7.750736458751552,False,True,2.490719343037135,3.991582068291365,False
