feature_1,feature_2,mutual_information
pm_average_polyphony,muspy_polyphony,0.5639252577902076
pm_interval_range_min,theory_conjuction_melody_motion,0.563321247189402
muspy_n_pitches_used,theory_conjuction_melody_motion,0.5610974992370861
pm_average_velocity,pm_groove,0.5605465866154584
pm_pitch_range_max_freq,muspy_pitch_range,0.560338471604795
muspy_pitch_range,muspy_n_pitch_classes_used,0.5594152821585165
muspy_pitch_range,theory_general_tonality,0.5560116288901167
pm_pitch_range_min_note,pm_tempo_bpm,0.5545325602966731
pm_average_pitch_hz,muspy_pitch_entropy,0.5539708648948563
pm_groove,muspy_n_pitches_used,0.5488453573697476
muspy_groove_consistency,theory_centricity,0.5480188154051078
pm_note_count,muspy_n_pitch_classes_used,0.5467504990778504
pm_max_polyphony,muspy_polyphony,0.5450731062021359
pm_bar_count,muspy_pitch_class_entropy,0.5444531497407779
pm_pitch_range_max_note,muspy_pitch_range,0.5400241222204265
pm_note_density,theory_limited_macroharmony,0.5380770222295119
pm_interval_range_min,theory_general_tonality,0.5364563738347807
pm_length_seconds,pm_pitch_range_min_freq,0.5347805213674608
pm_length_seconds,theory_conjuction_melody_motion,0.5286436818540867
pm_energy,pm_average_polyphony,0.5229530522757124
muspy_n_pitches_used,theory_limited_macroharmony,0.5224811722296581
pm_energy,theory_centricity,0.5221968521762648
muspy_pitch_range,theory_conjuction_melody_motion,0.5217811664078789
pm_tempo_bpm,muspy_pitch_entropy,0.5200095009044099
pm_note_density,muspy_pitch_range,0.5193540891817277
pm_max_polyphony,pm_average_polyphony,0.5165194382414366
pm_note_count,pm_bar_count,0.5162262233842041
pm_pitch_range_min_freq,pm_tempo_bpm,0.5133833924657534
pm_average_pitch_hz,muspy_n_pitch_classes_used,0.512047342584613
pm_average_velocity,pm_bar_count,0.5104209739021428
pm_interval_range_max,muspy_n_pitches_used,0.5056488437974047
pm_average_velocity,pm_average_polyphony,0.5054624776766232
pm_average_pitch_hz,muspy_pitch_class_entropy,0.503771787519709
pm_pitch_range_min_note,muspy_pitch_range,0.5011337877552902
pm_pitch_range_min_freq,muspy_pitch_range,0.5002864606485042
pm_average_polyphony,muspy_pitch_range,0.495089331785211
pm_interval_range_max,theory_conjuction_melody_motion,0.48865346493729245
pm_note_count,pm_average_polyphony,0.4836185549592127
pm_interval_range_min,muspy_pitch_class_entropy,0.4819063751743764
pm_length_seconds,muspy_n_pitches_used,0.48160483473178006
muspy_pitch_range,muspy_polyphony,0.48135295786468113
pm_interval_range_min,pm_average_polyphony,0.48077180199840663
pm_note_count,pm_average_velocity,0.47821025766820124
muspy_n_pitch_classes_used,muspy_groove_consistency,0.47354282093750255
pm_groove,muspy_pitch_range,0.47076841607000386
pm_length_seconds,theory_limited_macroharmony,0.47053614334998795
pm_interval_range_max,theory_general_tonality,0.46748986973483264
pm_energy,muspy_pitch_entropy,0.4674290186732457
pm_note_density,muspy_n_pitch_classes_used,0.4639469211115852
muspy_pitch_class_entropy,theory_conjuction_melody_motion,0.4593574283618129
muspy_pitch_class_entropy,theory_limited_macroharmony,0.4571408454973307
muspy_n_pitches_used,muspy_groove_consistency,0.45424683047870706
pm_length_seconds,muspy_pitch_range,0.45354894159438475
pm_average_polyphony,muspy_pitch_entropy,0.45041521376187
pm_tempo_bpm,theory_conjuction_melody_motion,0.44892914721677935
muspy_pitch_class_entropy,theory_general_tonality,0.44875992669950415
pm_energy,theory_general_tonality,0.44872581337575657
muspy_n_pitch_classes_used,theory_centricity,0.448488709076039
muspy_groove_consistency,theory_general_tonality,0.44759226525472595
pm_average_pitch_hz,muspy_n_pitches_used,0.44609096130694725
pm_tempo_bpm,theory_general_tonality,0.4440073513293141
muspy_groove_consistency,theory_conjuction_melody_motion,0.4426992620340702
pm_length_seconds,pm_interval_range_max,0.4345075342558049
pm_length_seconds,pm_average_pitch_hz,0.43388942867759006
pm_bar_count,muspy_pitch_entropy,0.4334297313037627
pm_average_polyphony,pm_bar_count,0.43229118113317133
pm_energy,pm_bar_count,0.4296560291057965
pm_interval_range_min,muspy_polyphony,0.4292557680207669
muspy_groove_consistency,theory_limited_macroharmony,0.42672677679567883
pm_groove,pm_bar_count,0.42525169234935145
muspy_polyphony,muspy_pitch_entropy,0.42411304166785113
pm_energy,muspy_pitch_class_entropy,0.41964997014115024
pm_average_polyphony,muspy_n_pitches_used,0.41857310082017873
muspy_pitch_range,theory_centricity,0.41807044682057626
pm_energy,theory_conjuction_melody_motion,0.41775627458760756
pm_interval_range_max,pm_average_polyphony,0.4173098841094567
pm_average_pitch_hz,pm_interval_range_min,0.4146230689686554
pm_pitch_range_max_note,pm_tempo_bpm,0.4124471286188749
pm_tempo_bpm,theory_centricity,0.41106298854235
pm_groove,muspy_polyphony,0.4109228966529921
pm_interval_range_max,muspy_polyphony,0.4103127312388928
pm_length_seconds,pm_pitch_range_max_note,0.405116563595989
pm_groove,theory_centricity,0.4034167898063865
pm_energy,theory_limited_macroharmony,0.4012372396731685
pm_tempo_bpm,muspy_empty_measure_rate,0.3991348878116803
pm_tempo_bpm,muspy_empty_beat_rate,0.3991348878116803
pm_average_pitch_hz,pm_interval_range_max,0.39544493286589333
muspy_n_pitch_classes_used,theory_conjuction_melody_motion,0.3948709844837621
pm_tempo_bpm,muspy_n_pitch_classes_used,0.3944858319378928
pm_groove,theory_general_tonality,0.3932397288101437
pm_pitch_range_min_freq,pm_average_velocity,0.3857555781080664
pm_interval_range_min,pm_note_density,0.38542002592713276
pm_groove,theory_conjuction_melody_motion,0.3844111293178867
pm_interval_range_max,pm_note_density,0.3840495259872916
pm_pitch_range_max_freq,pm_tempo_bpm,0.3832700337242354
pm_pitch_range_max_note,pm_average_velocity,0.38214380014472704
pm_pitch_range_min_note,pm_average_velocity,0.381762791983034
pm_length_seconds,pm_pitch_range_max_freq,0.3815915825189604
pm_pitch_range_max_freq,muspy_pitch_entropy,0.3795350805269959
pm_energy,muspy_pitch_range,0.3781917906530827
pm_tempo_bpm,muspy_pitch_range,0.37793958232416003
pm_average_polyphony,theory_conjuction_melody_motion,0.3752887661891102
pm_groove,muspy_n_pitch_classes_used,0.3728022466873093
pm_average_velocity,muspy_pitch_range,0.37191312352659756
pm_note_count,muspy_pitch_range,0.36667418172963817
muspy_n_pitch_classes_used,theory_general_tonality,0.3666361252895016
pm_groove,muspy_empty_beat_rate,0.36479362258151316
pm_groove,muspy_empty_measure_rate,0.36479362258151316
muspy_scale_consistency,muspy_pitch_class_entropy,0.3644887969757096
pm_pitch_range_max_freq,pm_average_velocity,0.3643594991134611
pm_interval_range_min,muspy_n_pitch_classes_used,0.363084956768422
pm_bar_count,muspy_empty_measure_rate,0.36196983149422124
pm_bar_count,muspy_empty_beat_rate,0.36196983149422124
pm_note_count,muspy_empty_beat_rate,0.3600375886797442
pm_note_count,muspy_empty_measure_rate,0.3600375886797442
muspy_pitch_range,muspy_groove_consistency,0.3599646119671509
pm_note_count,pm_interval_range_min,0.35550705428062424
pm_average_pitch_hz,pm_note_density,0.35425649648550417
pm_length_seconds,muspy_polyphony,0.3542193945555683
pm_bar_count,theory_conjuction_melody_motion,0.353841444578876
muspy_n_pitches_used,muspy_polyphony,0.3521738539327921
pm_average_pitch_hz,pm_average_velocity,0.35101785978846145
pm_pitch_range_max_note,muspy_pitch_entropy,0.35090165331534795
pm_pitch_range_min_freq,pm_note_density,0.3504039967243
muspy_n_pitch_classes_used,theory_limited_macroharmony,0.34933883730458604
muspy_polyphony,theory_conjuction_melody_motion,0.3446744921159204
pm_average_polyphony,theory_general_tonality,0.3429377467562227
pm_bar_count,muspy_n_pitch_classes_used,0.3428924245477365
pm_interval_range_max,pm_groove,0.33989559285818904
pm_interval_range_max,muspy_pitch_class_entropy,0.339394952330363
pm_groove,theory_limited_macroharmony,0.3384298630345919
pm_average_velocity,theory_centricity,0.3383086968987623
pm_average_velocity,muspy_pitch_entropy,0.3363622477968242
pm_interval_range_min,theory_centricity,0.33541994872920533
pm_average_velocity,muspy_empty_measure_rate,0.33347252396592086
pm_average_velocity,muspy_empty_beat_rate,0.33347252396592086
pm_bar_count,theory_general_tonality,0.33244500146786127
pm_note_density,muspy_polyphony,0.33220503393461254
muspy_polyphony,theory_general_tonality,0.32985006234672687
