metadata_index,dim1,dim2
217,8.61016,2.8845584
218,10.031449,10.655788
219,9.404881,9.681424
220,11.411867,10.209177
221,10.209538,11.198595
222,1.5441282,6.4514823
223,11.396589,6.3514376
224,0.12591721,4.617688
225,4.309228,8.310392
226,9.365199,2.5967665
227,8.732136,2.75065
228,1.7284502,5.6214747
229,10.977019,13.175422
230,8.781039,13.731247
231,12.286467,12.236724
232,8.851663,13.6631775
233,10.193846,7.381598
234,-1.2290959,4.3707905
235,9.51784,13.288905
236,7.696834,14.421145
237,9.924964,12.881073
238,4.3836627,8.390873
239,1.6703024,5.293912
240,10.066403,10.485583
241,1.4218866,6.297666
242,10.347718,9.845932
243,9.87049,12.683621
244,8.373812,13.786826
245,9.650579,12.0894165
246,12.910805,1.3697405
247,9.29493,2.6341565
248,10.045972,3.2807004
249,-0.122510955,10.588416
250,9.373654,2.622463
251,9.77511,9.645736
252,10.956293,6.6263685
253,9.988117,10.964401
254,2.5410895,3.9091535
255,0.27554202,4.5110955
256,10.070899,3.1723042
257,10.532186,10.123141
258,7.7285733,14.299412
259,4.292945,8.340958
260,10.200028,3.2569177
261,4.3498054,8.310634
262,9.722615,10.161239
263,9.750846,10.1085205
264,8.90591,13.624983
265,13.43743,1.3456407
266,11.457729,6.2068133
267,-0.10098569,12.78119
268,4.525714,13.764061
269,2.7782128,3.7361145
270,9.305363,9.595866
271,2.6331847,3.7527912
272,0.07259395,4.4160643
273,9.40403,9.637606
274,2.6767905,3.6146762
275,10.021961,12.442059
276,9.0398855,2.9049315
277,12.551561,12.040122
278,2.1484344,4.3839474
279,1.9903975,5.3080907
280,11.033224,6.7438316
281,11.049131,6.6939473
282,9.620768,12.193275
283,4.541917,13.755642
284,10.541785,10.034567
285,7.7482185,14.344756
286,9.515992,3.3352032
287,10.485761,9.957385
288,2.7239733,3.766335
289,7.7243686,14.137536
290,13.416736,1.2944443
291,10.332508,10.028637
292,1.9946736,5.40854
293,10.104445,10.488868
294,10.928524,6.729758
295,10.451507,11.173809
296,11.0642395,6.563438
297,11.286178,12.965062
298,9.248222,13.020408
299,10.3165245,10.958897
300,9.131005,2.5974236
301,9.503196,12.8169365
302,9.371681,2.4893148
303,6.9419427,13.601439
304,10.195119,7.4189734
305,10.192025,7.396841
306,9.919571,12.950187
307,9.574414,2.5586836
308,10.200807,7.2664475
309,11.411166,10.148055
310,1.5262239,6.6751804
311,4.331704,8.26117
312,9.260077,2.5256615
313,2.6949413,3.6370883
314,10.269482,11.212003
315,8.410011,2.923435
316,9.016987,13.567137
